"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"65";"ABHD17C";-0,224009586960497;2,77331344744324;-1,17870272541399;0,251484069526458;0,999809857860324;-4,57347387881077;-0,0475485444558261;3,54304779106264;-0,405828811569256;0,689413526135529;0,794400355921429;-6,13641616404207
"66";"ABHD2";-0,169903642364996;7,63302281943776;-1,12122183153696;0,274644186378551;0,999809857860324;-4,58487521266551;0,247166304347792;4,6970015370306;3,31890576447561;0,00361760714512957;0,0294102698528786;-2,1525312184795
"67";"ABHD3";0,340095677647588;5,1961448064988;1,35890914240886;0,188356342357556;0,999809857860324;-4,50400226934266;0,0749375719631615;5,92202820866294;1,07800675346272;0,29456066905557;0,452964894310695;-6,24640016249039
"68";"ABHD4";0,0563102295340645;5,30666674203003;0,376752423932197;0,71007531795756;0,999809857860324;-4,74974448352538;-0,271720531007103;6,39392343141929;-3,14194938561451;0,00538020340182162;0,0376984002595335;-2,70474815792686
"69";"ABHD5";-0,0836288088386379;4,60941787532431;-0,415079538538796;0,682224403070926;0,999809857860324;-4,72316536506474;-0,10520148552998;5,05445579029026;-1,24425918180128;0,228572844718723;0,384440898645808;-5,96643663474374
"70";"ABHD6";0,0437098252152746;2,65184665072173;0,254055014940384;0,801883304128867;0,999809857860324;-4,67041266336043;0,228105280283973;4,98514119329975;1,65775861957243;0,113826208146088;0,249375717807973;-5,39144852384023
"71";"ABHD8";-0,0686160077734921;3,74943365431437;-0,323932038913854;0,749140791764503;0,999809857860324;-4,70263814419336;0,139850125073249;6,37599815447804;2,28372391948239;0,0340994614785602;0,12265886921747;-4,44020056323212
"72";"ABI1";0,138820332462826;6,29672937288978;1,0952673140614;0,285599311477928;0,999809857860324;-4,59467599511566;0,099884262914073;5,30217819636523;1,10157392443256;0,284440426093836;0,442895751548551;-6,16441755700614
"73";"ABI2";-0,0452455000263798;5,82990202404623;-0,39201973878306;0,698928633386372;0,999809857860324;-4,75254969262014;-0,07833562427771;2,74389814190194;-0,282742281635079;0,780439271259711;0,859687627032479;-5,85488892531711
"74";"ABI3";0,157939405239866;6,59117754908365;0,678159285611544;0,504953551457495;0,999809857860324;-4,70505902884983;0,157067215812082;5,31983863263512;1,529400285135;0,14268468079388;0,286405516894678;-5,63168449706681
"75";"ABI3BP";-0,558931084327486;7,68262619531757;-0,378879672315718;0,708518149958955;0,999809857860324;-4,74710723870521;-0,75110060859276;1,45484675482764;-1,57094237167506;0,132741215271832;0,27333521935247;-4,45634205897289
"76";"ABL1";-0,321532576655752;6,98347816077091;-0,881215938277838;0,388011949400017;0,999809857860324;-4,65701047808149;0,0331780058411031;4,45831474101507;0,300573125864751;0,76701230344467;0,849958739115787;-6,51547167023659
"77";"ABL2";-0,171471584342106;5,9367442773993;-0,427845857073171;0,673047217706321;0,999809857860324;-4,7453509598813;-0,307240037730589;3,04233664444671;-1,65661127549585;0,11406042542385;0,249656054219395;-4,74034000773848
"78";"ABLIM1";-0,167145055820477;4,64607452695654;-0,414509111566135;0,682635650928915;0,999809857860324;-4,7228523548286;0,102987720776127;4,09147481011967;1,27979143965456;0,216063216620028;0,371240558802185;-5,62065978410684
"79";"ABLIM2";-0,0659499437966833;-0,33134976118948;-0,112007674128497;0,911863512732973;0,999809857860324;-4,61206172768727;0,195995888671379;4,82089514583366;2,24674338471147;0,0367672495272557;0,128216769401185;-4,34561458259852
"80";"ABLIM3";-0,0332994261017343;2,35830029701494;-0,0262805320642476;0,979277631296724;0,999809857860324;-4,66407758631031;-1,00761529790877;3,20929046964276;-4,99591795189896;8,07998542796624e-05;0,00286094080661254;1,6487562622614
"81";"ABR";-0,0160249618085917;7,54425876761559;-0,167289024959164;0,868716706342294;0,999809857860324;-4,76545549840438;0,0563877317047439;4,51662645277679;0,725814956977337;0,476820237528265;0,624609477158013;-6,32141169020634
"82";"ABRACL";0,191054061266605;5,28270344430172;1,06521857882558;0,2986737000603;0,999809857860324;-4,60241029805064;0,134302898189405;4,20685621992001;0,833042530700225;0,415195802917156;0,570191449948674;-6,10776131034231
"83";"ABT1";0,267752493473073;5,56929090080236;1,92403600557353;0,0677802471341526;0,999809857860324;-4,26341513700674;-0,378460436854342;4,73343562397583;-5,32239901104997;3,92104711959004e-05;0,00188010208315853;2,22480848102811
"84";"ABTB1";-0,0703152947154688;5,47298688878724;-0,354925033454631;0,726127098804429;0,999809857860324;-4,75398930682451;0,256841987727614;5,32549745900795;2,82100967889882;0,0109301317290118;0,0595831658870375;-3,3358267004119
"85";"ABTB2";-0,219454590007034;2,53688104365229;-0,520189825395384;0,608282665326012;0,999809857860324;-4,64608618685954;-0,0226993586378015;4,27561712454396;-0,235555108872965;0,816304491902046;0,885153988103776;-6,47530984588092
"86";"ACAA1";-0,0117019269719405;5,91765296158356;-0,11146756318933;0,912286671423042;0,999809857860324;-4,77645187376456;0,298578005135004;6,17868505113141;4,61672462213285;0,000189324229527548;0,00473629753975127;0,554239171646175
"87";"ACAA2";0,085648104504533;7,16113142744339;0,83814886154105;0,411230745874578;0,999809857860324;-4,66569527503519;-0,0543258773306139;4,68863552595469;-0,443314733828001;0,662557150031232;0,773408532603841;-6,53622585011135
"88";"ACACA";-0,134709784741177;5,24328431021564;-0,808462325334253;0,427739940694656;0,999809857860324;-4,66892302359953;0,200238747756835;5,73872273939798;2,62902019070505;0,0165499258738441;0,0778070051837853;-3,76678518821889
"89";"ACACB";-0,0752663730605381;3,94196204993337;-0,360412308838636;0,722079282597132;0,999809857860324;-4,71492271797517;0,0638594903682241;4,88700703229249;0,940538276910284;0,35877564004438;0,515982472730629;-6,25372330297687
"90";"ACAD10";-0,107386518153808;4,36726512999634;-0,70441860633024;0,488783815927221;0,999809857860324;-4,67824147030884;0,0187589906025218;5,44037508239142;0,266135571618514;0,793008517571199;0,868949947314512;-6,75669283895598
"91";"ACAD11";-0,00906563693351559;1,18657320581631;-0,0216241603071654;0,982948546870435;0,999809857860324;-4,63538677639246;-0,0695799594898174;4,36497020558369;-0,54860969074007;0,58967826357269;0,718869696187358;-6,3567536862842
"92";"ACAD8";-0,0175073969274964;5,10150425813663;-0,127089872236152;0,90005839598519;0,999809857860324;-4,76310302264797;0,278275687489757;6,05938093805213;2,9726234786573;0,00783621730385502;0,0480709988391838;-3,07160163638757
"93";"ACAD9";-0,0478143856048199;5,53243524769118;-0,4680023262745;0,644524240371125;0,999809857860324;-4,73955195449987;-0,245709984920855;5,68276340468245;-3,03811111325291;0,00677895847685866;0,0438462847663577;-2,91646414182581
"94";"ACADM";0,0587180782501013;5,24002717973193;0,340374742832095;0,736899927405319;0,999809857860324;-4,75034308688134;0,0104106739052536;5,11445927288023;0,134685515934505;0,894280578296393;0,936980569381675;-6,74304100525995
"95";"ACADS";0,0799075005250529;4,60602737299388;0,553603891775717;0,58560045183698;0,999809857860324;-4,70915780388219;0,491241239468598;6,48277675556133;5,52532550779404;2,51554942754729e-05;0,00152852156379889;2,55972952208662
"96";"ACADSB";0,0315018777451925;4,49073585854975;0,110077969924292;0,913375493040391;0,999809857860324;-4,74450554974406;-0,130208929088571;6,51293361136728;-1,59898146957408;0,12636271162845;0,265141858949824;-5,5803200805225
"97";"ACADVL";-0,130462149082817;8,77099154888681;-1,393964866395;0,177665439730429;0,999809857860324;-4,49666906967061;0,137161490524583;6,19533909821457;2,15322925922355;0,044391049952235;0,143281197750809;-4,6815356780615
"98";"ACAN";-0,782866580849775;2,73228225473678;-0,31924185684041;0,752645041553418;0,999809857860324;-4,6507589474897;-0,544386862534515;1,53859955720445;-1,25172635180086;0,225898626804387;0,381765023324515;-4,83407516312807
"99";"ACAP1";0,185056871748206;8,0528807408512;0,678751779572951;0,504585406121719;0,999809857860324;-4,69433104764275;0,30428909504496;5,80817600177945;4,88259182694674;0,000104090585280347;0,00337713459308871;1,15206432790101
