"";"x"
"665";"LOC105375276"
"666";"MIR2052HG"
"667";"LOC105377005"
"668";"LOC105375858"
"669";"LOC105374721"
"670";"PDGFC"
"671";"LOC105376383"
"672";"BEST3"
"673";"LOC105370206"
"674";"TACR1"
"675";"SORCS3"
"676";"LOC101928394"
"677";"C5orf66"
"678";"LOC105374291"
"679";"RNA5SP303"
"680";"GSN-AS1"
"681";"TRG-CCC5-1"
"682";"LOC102723383"
"683";"LOC101928020"
"684";"SOHLH2"
"685";"LOC105378705"
"686";"LOC105370677"
"687";"TBX18"
"688";"ZIC4"
"689";"LOC105374541"
"690";"PRRG1"
"691";"LOC102724080"
"692";"LOC105369540"
"693";"LOC105377304"
"694";"LOC105373061"
"695";"LOC105374325"
"696";"LOC105369880"
"697";"TRL-TAA4-1"
"698";"TRV-AAC5-1"
"699";"TRI-AAT5-5"
"700";"SDPR"
"701";"LOC102724714"
"702";"EVA1A"
"703";"LOC340512"
"704";"LOC105378963"
"705";"LOC105378773"
"706";"LOC105374183"
"707";"LYG1"
"708";"TEX26"
"709";"LOC105370145"
"710";"LOC105373455"
"711";"TRH-GTG1-9"
"712";"LOC105378137"
"713";"LOC105375182"
"714";"MIR31"
"715";"HLA-DQA1"
"716";"PRRX2-AS1"
"717";"BMP5"
"718";"LOC105373408"
"719";"COL5A1-AS1"
"720";"MIR548H3"
"721";"NME8"
"722";"LOC105376374"
"723";"LOC105377407"
"724";"LOC105377406"
"725";"LOC101927668"
"726";"LOC105376370"
"727";"EPO"
"728";"LOC101927525"
"729";"LOC101928860"
"730";"SOX2-OT"
"731";"LOC105376577"
"732";"LOC105373128"
"733";"LOC105372132"
"734";"LOC101928439"
"735";"LOC105372244"
"736";"LOC105372763"
"737";"TACSTD2"
"738";"LOC105376212"
"739";"CALCRL"
"740";"LOC105374569"
"741";"KCNMB2-AS1"
"742";"KCNMB2"
"743";"LOC105374122"
"744";"NUPR1"
"745";"LOC105377864"
"746";"HTR1B"
"747";"LOC649133"
"748";"LOC105369531"
"749";"LOC105376558"
"750";"LOC105369924"
"751";"SEMA6A-AS1"
"752";"LOC105377655"
"753";"NRG1"
"754";"LOC101927865"
"755";"LOC105378182"
"756";"SMCP"
"757";"SYNPO2"
"758";"LOC101927646"
"759";"LINC00396"
"760";"PTGFR"
"761";"COL14A1"
"762";"LOC105379197"
"763";"LOC401287"
"764";"LOC105379103"
"765";"KIAA1024"
"766";"LOC101929415"
"767";"LOC105375518"
"768";"LOC105375517"
"769";"LOC105370171"
"770";"LOC105378870"
"771";"LOC729987"
"772";"RBM24"
"773";"C5orf66-AS2"
"774";"LINC01500"
"775";"LOC105370187"
"776";"PSG2"
"777";"TRA-AGC3-1"
"778";"SLC13A4"
"779";"LOC283299"
"780";"LOC105374485"
"781";"CACNA2D1"
"782";"MIR31HG"
"783";"CYP19A1"
"784";"SPINT5P"
"785";"LINC00928"
"786";"LOC102724700"
"787";"PDIA5"
"788";"LOC105377545"
"789";"LOC101928509"
"790";"TMEM98"
"791";"LOC102724731"
"792";"LOC101927950"
"793";"LOC105375778"
"794";"CDK14"
"795";"LINC00363"
"796";"LOC105369957"
"797";"STK33"
"798";"LOC101928008"
"799";"LOC105371115"
"800";"ASAP2"
"801";"FAT3"
"802";"LOC105375362"
"803";"KY"
"804";"ARMCX1"
"805";"TXNDC2"
"806";"CMTM1"
"807";"TRA-TGC5-1"
"808";"TRF-GAA4-1"
"809";"CUZD1"
"810";"MIR214"
"811";"MIR3120"
"812";"MIR199A2"
"813";"LOC105374216"
"814";"MIR569"
"815";"MIR579"
"816";"IDO2"
"817";"LOC105375753"
"818";"LOC105377721"
"819";"LOC105379384"
"820";"LOC105374086"
"821";"LOC105377681"
"822";"LOC100505664"
"823";"RNA5SP478"
"824";"MIR5094"
"825";"LOC105370504"
"826";"LOC105378834"
"827";"RNA5SP52"
"828";"LOC100129940"
"829";"TRHR"
"830";"KCNT2"
"831";"LOC101929251"
"832";"LOC102724214"
"833";"TRG-GCC1-5"
"834";"LOC100506497"
"835";"MIR3972"
"836";"LOC105376501"
"837";"ARHGAP29"
"838";"PPIP5K1"
"839";"MYO3B"
"840";"LOC105374839"
"841";"GNG12"
"842";"CTGF"
"843";"CACNA2D3"
"844";"LOC105377978"
"845";"LOC105374182"
"846";"LOC105369961"
"847";"LOC100506551"
"848";"FBN2"
"849";"LOC105379168"
"850";"LOC105377148"
"851";"LINC00862"
"852";"LOC105371944"
"853";"RASAL2"
"854";"SH3RF2"
"855";"LOC105373177"
"856";"SLC3A1"
"857";"LINC00840"
"858";"LOC102725045"
"859";"LOC101927062"
"860";"HAO2"
"861";"HAO2-IT1"
"862";"LOC105378789"
"863";"LOC105369844"
"864";"LOC105370243"
"865";"PRELP"
"866";"MIR6124"
"867";"PRLR"
"868";"LOC105378933"
"869";"LOC105379307"
"870";"ASXL3"
"871";"RIPK4"
"872";"LOC105371993"
"873";"BASP1"
"874";"SCHIP1"
"875";"LOC105373683"
"876";"LOC105376369"
"877";"LOC105376107"
"878";"LINC01090"
"879";"DSCAM"
"880";"CXCL3"
"881";"LOC105377275"
"882";"TRH-GTG1-4"
"883";"TNFSF18"
"884";"CPA5"
"885";"LOC105375504"
"886";"LOC105370269"
"887";"DRP2"
"888";"TAF7L"
"889";"LOC105378974"
"890";"PPIC"
"891";"LOC105370246"
"892";"LOC105376870"
"893";"LOC105378850"
"894";"MIR1468"
"895";"B3GALT5"
"896";"LOC105372805"
"897";"LINC01340"
"898";"LOC105378526"
"899";"LOC105376601"
"900";"CHODL-AS1"
"901";"FLJ41278"
"902";"LOC101926940"
"903";"DMRTB1"
"904";"TP63"
"905";"LOC728667"
