"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"LOC105372608";"LOC105372608";-0,3132667;1,510073;-0,9982918;0,3307138;0,4889431;-5,02246
"WDTC1";"WDTC1";0,07851054;5,171035;0,9980358;0,3308347;0,4890962;-6,250292
"NOTCH3";"NOTCH3";-0,1840972;3,649222;-0,997871;0,3309125;0,4891856;-5,786322
"SVIL";"SVIL";-0,1031646;3,890241;-0,9976906;0,3309978;0,489286;-5,847027
"SH2D2A";"SH2D2A";0,1100865;5,197851;0,9975783;0,3310508;0,4893387;-6,253042
"MPRIP";"MPRIP";-0,08789001;4,40515;-0,9975205;0,3310782;0,4893535;-6,043349
"LOC105374258";"LOC105374258";0,1939898;2,932753;0,9974386;0,3311169;0,489385;-5,389994
"NUDT1";"NUDT1";0,1423628;3,863175;0,9973704;0,3311491;0,4894071;-5,838042
"LOC105373675";"LOC105373675";-0,3122754;2,117166;-0,997318;0,3311739;0,489418;-5,137427
"KCTD2";"KCTD2";0,08175318;5,110635;0,997161;0,3312481;0,489502;-6,244275
"MIR549A";"MIR549A";-0,6330254;1,776392;-0,9971194;0,3312678;0,4895054;-5,123312
"GLUL";"GLUL";-0,07890693;6,107431;-0,9969135;0,3313651;0,489566;-6,331213
"LOC105371643";"LOC105371643";-0,07890693;6,107431;-0,9969135;0,3313651;0,489566;-6,331213
"TEDDM1";"TEDDM1";-0,07890693;6,107431;-0,9969135;0,3313651;0,489566;-6,331213
"GMCL1";"GMCL1";0,07274007;6,661463;0,9968855;0,3313784;0,489566;-6,3212
"CNKSR1";"CNKSR1";-0,1304619;5,844982;-0,9968492;0,3313956;0,489566;-6,325397
"OR51F2";"OR51F2";-0,841022;0,1672095;-0,9966659;0,3314823;0,4896684;-4,803152
"STXBP4";"STXBP4";-0,1182052;4,684349;-0,9965585;0,3315331;0,4897043;-6,120302
"ZNF414";"ZNF414";-0,102157;5,645791;-0,996505;0,3315583;0,4897043;-6,313814
"LOC642776";"LOC642776";-0,6248643;-0,2973112;-0,996471;0,3315744;0,4897043;-4,751386
"SPOPL";"SPOPL";0,07403501;4,932694;0,9964676;0,3315761;0,4897043;-6,193209
"REC8";"REC8";0,07194968;5,203423;0,9962882;0,331661;0,489804;-6,256063
"MIR6866";"MIR6866";-0,2760784;2,155172;-0,9958403;0,3318729;0,4900914;-5,180568
"KRT8";"KRT8";0,2261071;2,72088;0,9956807;0,3319485;0,4901773;-5,3879
"HES1";"HES1";0,1457324;4,266547;0,9954936;0,3320371;0,4902736;-5,992672
"LOC105375413";"LOC105375413";-0,1321399;4,904985;-0,9954696;0,3320484;0,4902736;-6,197942
"LOC105375519";"LOC105375519";-0,07706986;6,038188;-0,9951981;0,3321771;0,4904378;-6,332124
"LINC00661";"LINC00661";-0,4742387;2,187221;-0,9950223;0,3322603;0,490535;-5,251979
"LOC729856";"LOC729856";0,601354;1,014927;0,9948456;0,3323441;0,490633;-4,812098
"ARFGEF2";"ARFGEF2";0,08743894;5,371511;0,9945554;0,3324816;0,4908103;-6,283015
"FAM126A";"FAM126A";0,08304157;5,688812;0,9944996;0,3325081;0,4908237;-6,318334
"CAPN9";"CAPN9";-0,2479421;2,269722;-0,9943079;0,3325989;0,4909321;-5,162423
"STX1A";"STX1A";-0,1256344;4,139272;-0,9940684;0,3327125;0,4909694;-5,980515
"DOPEY1";"DOPEY1";0,06793397;5,663892;0,9940388;0,3327265;0,4909694;-6,32069
"LOC100996763";"LOC100996763";0,6093476;0,6573094;0,9940336;0,332729;0,4909694;-4,824811
"LOC105371223";"LOC105371223";0,6093476;0,6573094;0,9940336;0,332729;0,4909694;-4,824811
"CMTM5";"CMTM5";-0,3281187;2,537123;-0,9939977;0,3327461;0,4909694;-5,317795
"MYH6";"MYH6";-0,3281187;2,537123;-0,9939977;0,3327461;0,4909694;-5,317795
"MIR208A";"MIR208A";-0,3281187;2,537123;-0,9939977;0,3327461;0,4909694;-5,317795
"STIM1";"STIM1";0,08077572;4,644729;0,9938969;0,3327939;0,4910142;-6,114309
